Model,Result,FPS
k_real_efficientnetb0_performance_cascade_plus4x_uuid_cc60ed38-c01a-11ee-87fc-a3bdde689303, PASS, 605.2762292609787
k_real_expression_vgg13_performance_cascade_plus4x_uuid_aa520a8a-c018-11ee-87fc-a3bdde689303, PASS, 664.1801042278635
k_real_mobilenetv2_performance_cascade_plus4x_uuid_23b36b18-c022-11ee-87fc-a3bdde689303, PASS, 820.7710070055966
k_real_unet_lane_performance_cascade_plus4x_uuid_578e3854-c037-11ee-87fc-a3bdde689303, PASS, 353.8768388618715
k_real_mobilenetv3_large_minimalistic_performance_cascade_plus4x_uuid_dd719a04-c025-11ee-87fc-a3bdde689303, PASS, 840.9514051933106
k_real_mobilenetv3_large_performance_cascade_plus4x_uuid_d9b1f63c-c018-11ee-87fc-a3bdde689303, PASS, 839.0017522943855
k_real_mobilenetv3_small_minimalistic_performance_cascade_plus4x_uuid_cdb98316-c02e-11ee-87fc-a3bdde689303, PASS, 918.9933435874514
k_real_mobilenetv3_small_performance_cascade_plus4x_uuid_4d85f876-c049-11ee-87fc-a3bdde689303, PASS, 827.0847670862263
k_real_nvidia_super_res_performance_cascade_plus4x_uuid_d44b7eb2-c03f-11ee-87fc-a3bdde689303, PASS, 34.22438948285832
k_real_pspnet_performance_cascade_plus4x_uuid_fa828dee-c046-11ee-87fc-a3bdde689303, PASS, 116.53094139007392
k_real_resnet34_v1_performance_cascade_plus4x_uuid_9adcedd4-c029-11ee-87fc-a3bdde689303, PASS, 836.2950467964286
k_real_resnet50_performance_cascade_plus4x_uuid_1860c886-c032-11ee-87fc-a3bdde689303, PASS, 732.2496451622477
k_real_resnet50_v2_performance_cascade_plus4x_uuid_6aed442e-c039-11ee-87fc-a3bdde689303, PASS, 653.9519596867993
k_real_speech_enhancement_unet_performance_cascade_plus4x_uuid_5a96ddc2-c027-11ee-87fc-a3bdde689303, PASS, 1343.0712282094962
k_real_squeezenet_bypass_performance_cascade_plus4x_uuid_f30b99ba-c01f-11ee-87fc-a3bdde689303, PASS, 673.6128018912469
k_real_squeezenet_complex_performance_cascade_plus4x_uuid_82bb3d86-c03e-11ee-87fc-a3bdde689303, PASS, 583.6316680024936
k_real_squeezenet_performance_cascade_plus4x_uuid_d2b83ad4-c037-11ee-87fc-a3bdde689303, PASS, 832.5071057687727
k_real_unetplusplus_performance_cascade_plus4x_uuid_ccd4c654-c047-11ee-87fc-a3bdde689303, PASS, 317.5607288982032
k_real_efficientnetb1_performance_cascade_plus4x_uuid_31bca82c-c023-11ee-87fc-a3bdde689303, PASS, 558.9722266645343
k_real_efficientnetv2b0_performance_cascade_plus4x_uuid_da9c6c5c-c041-11ee-87fc-a3bdde689303, PASS, 745.6248822268285
k_real_efficientnetv2b1_performance_cascade_plus4x_uuid_0c92847e-c03a-11ee-87fc-a3bdde689303, PASS, 646.0428507616715
k_real_efficientnetv2b2_performance_cascade_plus4x_uuid_a53d4e18-c033-11ee-87fc-a3bdde689303, PASS, 520.1495600627508
k_real_efficientnetv2b3_performance_cascade_plus4x_uuid_eb2ebe72-c022-11ee-87fc-a3bdde689303, PASS, 398.57951008872834
k_real_espcn_performance_cascade_plus4x_uuid_aa520eea-c018-11ee-87fc-a3bdde689303, PASS, 119.32368798974926
k_real_unet_mobilenet_performance_cascade_plus4x_uuid_517ed81c-c026-11ee-87fc-a3bdde689303, PASS, 258.67803764312913
k_real_unet_performance_cascade_plus4x_uuid_0498e914-c03c-11ee-87fc-a3bdde689303, PASS, 268.6491717891417
k_real_unet_ultrasound_performance_cascade_plus4x_uuid_d5301ab8-c049-11ee-87fc-a3bdde689303, PASS, 568.0436958355962
k_real_xception_performance_cascade_plus4x_uuid_5dd6d6c6-c019-11ee-87fc-a3bdde689303, PASS, 314.8297798077681
k_real_yolo3_mobilenet_lite_416_coco_performance_cascade_plus4x_uuid_e22f3b1e-c020-11ee-87fc-a3bdde689303, PASS, 34.44456781031206
k_real_yolov1_tiny_performance_cascade_plus4x_uuid_81663732-c03f-11ee-87fc-a3bdde689303, PASS, 269.6555936300573
k_real_yolov3_tiny_performance_cascade_plus4x_uuid_69abf2b6-c022-11ee-87fc-a3bdde689303, PASS, 245.58727348206858
k_real_chess_alphazero_community_performance_cascade_plus4x_uuid_7d42e8e8-c027-11ee-87fc-a3bdde689303, PASS, 2159.107592362852
k_real_colornet_performance_cascade_plus4x_uuid_dbf26c7e-c01d-11ee-87fc-a3bdde689303, PASS, 85.07401957980456
k_real_dce_performance_cascade_plus4x_uuid_5ddc71b0-c034-11ee-87fc-a3bdde689303, PASS, 90.05257409529379
k_real_deblur_gan_performance_cascade_plus4x_uuid_93a0ffae-c035-11ee-87fc-a3bdde689303, PASS, 25.981308689095776
k_real_deep_q_atari_breakout_performance_cascade_plus4x_uuid_48a0fd7c-c019-11ee-87fc-a3bdde689303, PASS, 2260.3126700904813
k_real_densenet121_performance_cascade_plus4x_uuid_cfb55128-c01e-11ee-87fc-a3bdde689303, PASS, 695.774727325509
k_real_googlenet_performance_cascade_plus4x_uuid_ae234ce0-c02d-11ee-87fc-a3bdde689303, PASS, 876.3547621435496
k_real_inceptionv2_performance_cascade_plus4x_uuid_225bd37a-c04c-11ee-87fc-a3bdde689303, PASS, 745.4539314779499
k_real_inceptionv3_performance_cascade_plus4x_uuid_f6e67e3a-c027-11ee-87fc-a3bdde689303, PASS, 417.5227386073032
k_real_jumpnet_101_performance_cascade_plus4x_uuid_a373b4f0-c029-11ee-87fc-a3bdde689303, PASS, 189.3026054075962
k_real_jumpnet_performance_cascade_plus4x_uuid_67c9a8ba-c047-11ee-87fc-a3bdde689303, PASS, 113.50777190434322
k_real_mbllen_lowlight_with_noise_performance_cascade_plus4x_uuid_5eb06592-c043-11ee-87fc-a3bdde689303, PASS, 12.936245893486834
k_real_mobilenetv1_0p25_performance_cascade_plus4x_uuid_aa5201f2-c018-11ee-87fc-a3bdde689303, PASS, 1633.3786367689954
k_real_mobilenetv1_0p50_performance_cascade_plus4x_uuid_76b15f0e-c028-11ee-87fc-a3bdde689303, PASS, 1495.0770119162619
k_real_mobilenetv1_0p75_performance_cascade_plus4x_uuid_e8d1754c-c037-11ee-87fc-a3bdde689303, PASS, 1145.555898475161
k_real_mobilenetv1_performance_cascade_plus4x_uuid_fec01ae2-c02e-11ee-87fc-a3bdde689303, PASS, 890.115426488034
onnx_real_yolox_nano_ti_lite_performance_cascade_plus4x_uuid_17fa1612-c01f-11ee-87fc-a3bdde689303, PASS, 267.34060000038244
onnx_real_yolox_s_416x416_ti_lite_performance_cascade_plus4x_uuid_598f0fca-c037-11ee-87fc-a3bdde689303, PASS, 182.05447956549688
onnx_real_yolox_s_performance_cascade_plus4x_uuid_1e180772-c027-11ee-87fc-a3bdde689303, PASS, 96.98155796031628
onnx_real_yolox_s_ti_lite_performance_cascade_plus4x_uuid_097fd556-c031-11ee-87fc-a3bdde689303, PASS, 103.34127349402222
onnx_real_yolox_tiny_performance_cascade_plus4x_uuid_cb6638da-c032-11ee-87fc-a3bdde689303, PASS, 253.55743590642632
onnx_real_yolox_tiny_ti_lite_performance_cascade_plus4x_uuid_e59d9a4c-c035-11ee-87fc-a3bdde689303, PASS, 222.03985522399043
onnx_real_efficientnet_lite2_performance_cascade_plus4x_uuid_9f02c118-c038-11ee-87fc-a3bdde689303, PASS, 259.8870434569783
onnx_real_repvgg_b0_performance_cascade_plus4x_uuid_6c8ecac8-c01b-11ee-87fc-a3bdde689303, PASS, 544.9157871214837
onnx_real_yolox_nano_performance_cascade_plus4x_uuid_366401f0-c04a-11ee-87fc-a3bdde689303, PASS, 254.59540535340003
onnx_real_efficientnet_lite3_performance_cascade_plus4x_uuid_8f281736-c045-11ee-87fc-a3bdde689303, PASS, 518.8934539295846
onnx_real_efficientnet_lite4_performance_cascade_plus4x_uuid_c7eb022a-c038-11ee-87fc-a3bdde689303, PASS, 172.0186819911052
onnx_real_eye_contact_resnet_performance_cascade_plus4x_uuid_1eff2b78-c04c-11ee-87fc-a3bdde689303, PASS, 578.7713660028895
onnx_real_facial_cartoonizer_performance_cascade_plus4x_uuid_58e0d53e-c034-11ee-87fc-a3bdde689303, PASS, 72.58884566487014
onnx_real_gernet_m_performance_cascade_plus4x_uuid_0028cf62-c01d-11ee-87fc-a3bdde689303, PASS, 611.2515174523414
onnx_real_gernet_s_performance_cascade_plus4x_uuid_5b82b592-c02e-11ee-87fc-a3bdde689303, PASS, 839.7727932534733
onnx_real_gpunet0_performance_cascade_plus4x_uuid_97ce30c6-c042-11ee-87fc-a3bdde689303, PASS, 414.7708641125595
onnx_real_lightcnn_v4_performance_cascade_plus4x_uuid_004e5940-c044-11ee-87fc-a3bdde689303, PASS, 769.0721195807632
onnx_real_movenet_single_pose_thunder_performance_cascade_plus4x_uuid_0416b5b8-c01c-11ee-87fc-a3bdde689303, PASS, 108.73658746892586
onnx_real_posenet_mobilenet_performance_cascade_plus4x_uuid_ac078bf6-c041-11ee-87fc-a3bdde689303, PASS, 518.5335736662389
onnx_real_repvgg_a2_performance_cascade_plus4x_uuid_294bb188-c046-11ee-87fc-a3bdde689303, PASS, 429.479797788452
onnx_real_resnet34ssd_1200_performance_cascade_plus4x_uuid_c1306c12-c03e-11ee-87fc-a3bdde689303, PASS, 15.835285102817691
onnx_real_tiny_yolov2_performance_cascade_plus4x_uuid_fb71981e-c021-11ee-87fc-a3bdde689303, PASS, 260.93537993705405
onnx_real_ultraface_320_performance_cascade_plus4x_uuid_e0c3afae-c02e-11ee-87fc-a3bdde689303, PASS, 609.7417871088355
onnx_real_ultraface_640_performance_cascade_plus4x_uuid_c13cf4c8-c039-11ee-87fc-a3bdde689303, PASS, 146.45448019062144
onnx_real_yolop320_performance_cascade_plus4x_uuid_203e1696-c03a-11ee-87fc-a3bdde689303, PASS, 211.57697156125326
onnx_real_yolov7_tiny_320_performance_cascade_plus4x_uuid_7b924f0a-c01a-11ee-87fc-a3bdde689303, PASS, 243.8707636776348
onnx_real_yolov7_tiny_416_performance_cascade_plus4x_uuid_f7069ff8-c01d-11ee-87fc-a3bdde689303, PASS, 33.13881557942385
onnx_real_yolov7_tiny_640_performance_cascade_plus4x_uuid_bdde6700-c03c-11ee-87fc-a3bdde689303, PASS, 50.55299326997271
onnx_real_yolox_m_416x416_ti_lite_performance_cascade_plus4x_uuid_0950462e-c031-11ee-87fc-a3bdde689303, PASS, 144.74542147232765
onnx_real_yolox_m_performance_cascade_plus4x_uuid_1c7c8f5c-c01b-11ee-87fc-a3bdde689303, PASS, 81.03414798885079
onnx_real_yolox_m_ti_lite_performance_cascade_plus4x_uuid_02d95dcc-c03f-11ee-87fc-a3bdde689303, PASS, 53.62105751112774
onnx_real_bisenet_performance_cascade_plus4x_uuid_8a5807b6-c027-11ee-87fc-a3bdde689303, PASS, 147.4104179348292
onnx_real_bodypix_resnet50_416_performance_cascade_plus4x_uuid_7a5bdc86-c034-11ee-87fc-a3bdde689303, PASS, 247.29282914565755
onnx_real_centernet_mobilenetv2_kpts_performance_cascade_plus4x_uuid_69a62fd4-c036-11ee-87fc-a3bdde689303, PASS, 134.55119969331992
onnx_real_efficientnet_lite1_performance_cascade_plus4x_uuid_8465d136-c049-11ee-87fc-a3bdde689303, PASS, 464.9200360026426
pt_real_mobilenet3dv2_performance_cascade_plus4x_uuid_1cd9d854-c027-11ee-87fc-a3bdde689303, PASS, 229.2273782802853
pt_real_lraspp_mobilenet_v3_large_performance_cascade_plus4x_uuid_407c4a84-c023-11ee-87fc-a3bdde689303, PASS, 104.29708141023107
pt_real_mnasnet1_0_performance_cascade_plus4x_uuid_289ea822-c027-11ee-87fc-a3bdde689303, PASS, 835.6518967166082
pt_real_mobilenet3d_performance_cascade_plus4x_uuid_8178560e-c028-11ee-87fc-a3bdde689303, PASS, 229.99021762494462
pt_real_resnet18_performance_cascade_plus4x_uuid_70aaac8c-c037-11ee-87fc-a3bdde689303, PASS, 535.9810976209735
pt_real_squeezenet3d_performance_cascade_plus4x_uuid_4ac7bf48-c049-11ee-87fc-a3bdde689303, PASS, 221.23665173049486
tf_real_efficientnet_tpu_l_performance_cascade_plus4x_uuid_fa23a75e-c044-11ee-87fc-a3bdde689303, PASS, 181.49884505172386
tf_real_efficientnet_tpu_m_performance_cascade_plus4x_uuid_46664482-c031-11ee-87fc-a3bdde689303, PASS, 458.15704013116715
tf_real_efficientnet_tpu_s_performance_cascade_plus4x_uuid_187e00c0-c02f-11ee-87fc-a3bdde689303, PASS, 249.6539680139901
tf_real_license_plate_recog_performance_cascade_plus4x_uuid_44854b5a-c026-11ee-87fc-a3bdde689303, PASS, 2321.823224299324
tf_real_mlperf_v2_resnet_performance_cascade_plus4x_uuid_dd847886-c02f-11ee-87fc-a3bdde689303, PASS, 712.916900379039
tf_real_mobilenetv1_ssd_performance_cascade_plus4x_uuid_45cb7292-c03e-11ee-87fc-a3bdde689303, PASS, 438.89954491278627
tf_real_mobilenet_yolo_v4_syg_performance_cascade_plus4x_uuid_9429de6e-c01c-11ee-87fc-a3bdde689303, PASS, 266.2909827609085
tf_real_movenet_multipose_lite_performance_cascade_plus4x_uuid_30bc351a-c027-11ee-87fc-a3bdde689303, PASS, 362.03421898979576
tf_real_movenet_singlepose_lightning_performance_cascade_plus4x_uuid_f6f0a624-c01a-11ee-87fc-a3bdde689303, PASS, 413.29951499457053
tf_real_squeezedet_kitti_performance_cascade_plus4x_uuid_fda41fba-c02d-11ee-87fc-a3bdde689303, PASS, 97.34454780073897
tf_real_squeezedet_plus_kitti_performance_cascade_plus4x_uuid_8e07f7d8-c020-11ee-87fc-a3bdde689303, PASS, 66.05697276567932
tf_real_ssdlite_mobilenet_v2_performance_cascade_plus4x_uuid_5575aed4-c024-11ee-87fc-a3bdde689303, PASS, 383.6191671293116
tf_real_ssdmobilenetv2_fpnlite_performance_cascade_plus4x_uuid_2ca2e970-c01c-11ee-87fc-a3bdde689303, PASS, 71.2846382711278
tf_real_ssdmobilenet_v1_800_performance_cascade_plus4x_uuid_4f3363ee-c02f-11ee-87fc-a3bdde689303, PASS, 66.6024615082665
tf_real_ssdmobilenet_v2_performance_cascade_plus4x_uuid_ebc02266-c029-11ee-87fc-a3bdde689303, PASS, 329.2751839183419
tf_real_ssd_resnet34_300_performance_cascade_plus4x_uuid_d39e64b2-c02a-11ee-87fc-a3bdde689303, PASS, 126.47453218519426
tf_real_yolov5m_leaky_416_performance_cascade_plus4x_uuid_7367a3cc-c03b-11ee-87fc-a3bdde689303, PASS, 121.64003192456893
tf_real_centernet_mobilenetv2_performance_cascade_plus4x_uuid_940e906e-c026-11ee-87fc-a3bdde689303, PASS, 217.3081645785387
tf_real_resnetv2_50_performance_cascade_plus4x_uuid_4c502984-c019-11ee-87fc-a3bdde689303, PASS, 414.0600412647956
tf_real_yolov5n_leaky_320_performance_cascade_plus4x_uuid_fd5dd622-c037-11ee-87fc-a3bdde689303, PASS, 246.98004282090358
tf_real_yolov5n_leaky_416_performance_cascade_plus4x_uuid_83dcd972-c025-11ee-87fc-a3bdde689303, PASS, 130.51921035688537
tf_real_yolov5n_leaky_performance_cascade_plus4x_uuid_2ddf433a-c033-11ee-87fc-a3bdde689303, PASS, 54.02917106142494
tf_real_yolov5s_leaky_320_performance_cascade_plus4x_uuid_3ff69836-c031-11ee-87fc-a3bdde689303, PASS, 240.08375419357682
tf_real_yolov5s_leaky_416_performance_cascade_plus4x_uuid_7e5a84ae-c01b-11ee-87fc-a3bdde689303, PASS, 134.3638728972729
tf_real_yolov5s_leaky_performance_cascade_plus4x_uuid_b2b591d4-c01c-11ee-87fc-a3bdde689303, PASS, 49.87497675285827
tfl_real_mp_hand_recrop_performance_cascade_plus4x_uuid_86047396-c042-11ee-87fc-a3bdde689303, PASS, 654.2192052608265
tfl_real_mp_iris_landmark_performance_cascade_plus4x_uuid_2095024a-c020-11ee-87fc-a3bdde689303, PASS, 2533.404203913989
tfl_real_mp_object_detection_3d_camera_performance_cascade_plus4x_uuid_5e436c66-c026-11ee-87fc-a3bdde689303, PASS, 795.7683521920937
tfl_real_mp_object_detection_3d_chair_1stage_performance_cascade_plus4x_uuid_77a0f1a8-c042-11ee-87fc-a3bdde689303, PASS, 145.72141987831023
tfl_real_mp_object_detection_3d_chair_performance_cascade_plus4x_uuid_1ae922a8-c049-11ee-87fc-a3bdde689303, PASS, 843.735906065245
tfl_real_mp_object_detection_3d_cup_performance_cascade_plus4x_uuid_3f17c240-c037-11ee-87fc-a3bdde689303, PASS, 780.7975695388155
tfl_real_unet_mobilenet_v2_256_performance_cascade_plus4x_uuid_475b82ce-c02e-11ee-87fc-a3bdde689303, PASS, 71.37383309092833
tfl_real_yolov8l-cls_performance_cascade_plus4x_uuid_9dfd3eca-c028-11ee-87fc-a3bdde689303, PASS, 234.13815047616922
tfl_real_yolov8m-cls_performance_cascade_plus4x_uuid_166a5368-c04a-11ee-87fc-a3bdde689303, PASS, 703.9477968400171
tfl_real_yolov8m_performance_cascade_plus4x_uuid_f551d716-c029-11ee-87fc-a3bdde689303, PASS, 51.79250959740478
tfl_real_yolov8n-cls_performance_cascade_plus4x_uuid_229c796a-c02f-11ee-87fc-a3bdde689303, PASS, 847.3238708217679
tfl_real_yolov8n_performance_cascade_plus4x_uuid_a49685c8-c02f-11ee-87fc-a3bdde689303, PASS, 89.48856532533158
tfl_real_yolov8s-cls_performance_cascade_plus4x_uuid_28be07be-c034-11ee-87fc-a3bdde689303, PASS, 737.9621826192064
tfl_real_yolov8s_performance_cascade_plus4x_uuid_a2bddc56-c02a-11ee-87fc-a3bdde689303, PASS, 45.702823944321125
tfl_real_efficientdet_lite1_performance_cascade_plus4x_uuid_9d499cd2-c03f-11ee-87fc-a3bdde689303, PASS, 38.39282126416365
tfl_real_insects_v1_performance_cascade_plus4x_uuid_3b045b26-c039-11ee-87fc-a3bdde689303, PASS, 789.8803212775774
tfl_real_midas_v2_small_performance_cascade_plus4x_uuid_6dbaf696-c03a-11ee-87fc-a3bdde689303, PASS, 94.63312916711509
tfl_real_mobiledet_performance_cascade_plus4x_uuid_54d2c5b2-c019-11ee-87fc-a3bdde689303, PASS, 287.66510910798047
tfl_real_mp_face_detection_full_range_performance_cascade_plus4x_uuid_e8f9eeea-c029-11ee-87fc-a3bdde689303, PASS, 536.055079054086
tfl_real_mp_face_detection_full_range_sparse_performance_cascade_plus4x_uuid_aa52065c-c018-11ee-87fc-a3bdde689303, PASS, 605.8874003622926
tfl_real_mp_face_detection_short_range_performance_cascade_plus4x_uuid_690dac7e-c035-11ee-87fc-a3bdde689303, PASS, 1717.6325089786274
tfl_real_mp_face_landmark_performance_cascade_plus4x_uuid_af5a695a-c018-11ee-87fc-a3bdde689303, PASS, 1130.3847719046707
tfl_real_mp_hand_landmark_full_performance_cascade_plus4x_uuid_b1abd2d4-c027-11ee-87fc-a3bdde689303, PASS, 823.6593431625912
tfl_real_bodypix_mobilenet_performance_cascade_plus4x_uuid_af8ade98-c03e-11ee-87fc-a3bdde689303, PASS, 262.23774999562346
tfl_real_mp_hand_landmark_lite_performance_cascade_plus4x_uuid_f1d52fe6-c021-11ee-87fc-a3bdde689303, PASS, 816.9501957499854
tfl_real_mp_object_detection_3d_sneakers_1stage_performance_cascade_plus4x_uuid_c7b54300-c025-11ee-87fc-a3bdde689303, PASS, 153.57613495852024
tfl_real_unet_mobilenet_v2_128_performance_cascade_plus4x_uuid_d61b9018-c02d-11ee-87fc-a3bdde689303, PASS, 284.2060256254756
tfl_real_mp_object_detection_3d_sneakers_performance_cascade_plus4x_uuid_2515c892-c037-11ee-87fc-a3bdde689303, PASS, 795.3005957685642
tfl_real_mp_palm_detection_full_performance_cascade_plus4x_uuid_9b0adaba-c019-11ee-87fc-a3bdde689303, PASS, 515.0278001532447
tfl_real_mp_palm_detection_lite_performance_cascade_plus4x_uuid_d110961e-c018-11ee-87fc-a3bdde689303, PASS, 867.1507252609119
tfl_real_mp_pose_detection_performance_cascade_plus4x_uuid_0a7ce68c-c04b-11ee-87fc-a3bdde689303, PASS, 218.69264231328137
tfl_real_mp_pose_landmark_full_performance_cascade_plus4x_uuid_0cef18ba-c026-11ee-87fc-a3bdde689303, PASS, 280.90061165458826
tfl_real_mp_pose_landmark_heavy_performance_cascade_plus4x_uuid_04593af2-c03d-11ee-87fc-a3bdde689303, PASS, 115.26796898488544
tfl_real_mp_pose_landmark_lite_performance_cascade_plus4x_uuid_ca1b114c-c03e-11ee-87fc-a3bdde689303, PASS, 335.9132871546106
tfl_real_mp_selfie_segmentation_landscape_performance_cascade_plus4x_uuid_13e22f2a-c032-11ee-87fc-a3bdde689303, PASS, 483.0177554315406
tfl_real_mp_selfie_segmentation_performance_cascade_plus4x_uuid_a115e04a-c027-11ee-87fc-a3bdde689303, PASS, 226.4460534350197
