Model,FPS
k_real_mobilenetv3_large_minimalistic_performance,1554.75307
k_real_mobilenetv3_large_performance,1549.143896
k_real_mobilenetv3_small_minimalistic_performance,1627.836865
k_real_mobilenetv3_small_performance,1529.426007
model_explorer_42io_esp32_kws_GitHub,45.79664
model_explorer_A-Y-Yang_CSP-572-Drug-Target-Identification-master_GitHub_1,2402.574475
model_explorer_acmmmsys_2018-Mimir_GitHub,100.3248
model_explorer_ACR-Loss_4e93bc740122b8c4fa1a02160a42912b_PINTO,1596.789
model_explorer_adit-g_willow_GitHub,2427.875
model_explorer_adnan4077_medical-image-class-detection_GitHub,2361.07
model_explorer_adrianlachowicz_RESISC-Classifier_GitHub,566.8164
model_explorer_AdwitM_Sign-Language-Recognition_GitHub,509.2961
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_13,37.69498
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_14,37.7006
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_20,1686.68
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_21,1578.753
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_22,1560.335
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_23,1631.853
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_24,343.2203
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_26,340.4277
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_34,2451.66
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_35,2371.266
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_36,10.26526
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_37,10.26498
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_40,4.89205
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_41,6.652849
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_42,19.44193
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_43,21.43262
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_44,496.1653
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_45,498.3881
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_5,14.7711
model_explorer_AIBenchmarkMobile_9c04ddfcdd62b9474d5f4b76eed363bf_AIBenchmark_8,17.83659
model_explorer_aiy_vision_classifier_birds_V1_93541cd953e436eb19ee23b6122f16f6_TFHub,1554.609
model_explorer_aiy_vision_classifier_food_V1_77768c4b0a564751dcef96a209696dfb_TFHub,2352.837
model_explorer_aiy_vision_classifier_insects_V1_3781f9a5abee268c189cf64e521c92c7_TFHub,1547.918
model_explorer_aiy_vision_classifier_plants_V1_9b84407188105ac5c24cd2e6db3b2cbc_TFHub,1558.501
model_explorer_Aktyn_Protaktyn_GitHub,57.07033
model_explorer_alejoortizd_test_GitHub,2421.43
model_explorer_american-sign-language_66f5c57e44be1bf54820dd40fa1cefe3_TFHub,1659.343
model_explorer_andromaqui_remote_handGesture_deviceControl_GitHub_1,2397.148
model_explorer_AnishPawar_DSC-Eye-of-God_GitHub,57.07583
model_explorer_AnishPawar_DSC-Eye-of-God_GitHub_1,1586.673
model_explorer_AnishPawar_DSC-Eye-of-God_GitHub_4,279.7433
model_explorer_ankurdave_bird-models_GitHub,165.74
model_explorer_ankurdave_bird-models_GitHub_1,235.4308
model_explorer_ankurdave_bird-models_GitHub_3,236.3523
model_explorer_ankurdave_bird-models_GitHub_4,132.678622
model_explorer_ankurdave_bird-models_GitHub_5,216.3128
model_explorer_Anshal55_Real-time-age-gender-and-emotion_GitHub,2462.657
model_explorer_anti-spoof-mn3_c3839b272059af5c2736beddd7811eb4_PINTO_1,2339.942
model_explorer_AntiSpoofNet_07795bfa63d564c86bc5b21bc5ec91bb_OpenVINO,2365.811
model_explorer_antmicro_alkali-csd-fw_GitHub,2353.447
model_explorer_AOD-Net_e04d02afa1538a23305586dc856ddea4_PINTO_3,24.39727
model_explorer_AOD-Net_e04d02afa1538a23305586dc856ddea4_PINTO_41,69.92386
model_explorer_AppleParfait_OSP-Archive_GitHub_1,2466.817
model_explorer_AppleParfait_OSP-Archive_GitHub_3,2463.129
model_explorer_aqibbangash_image-search-python_GitHub,1273.817
model_explorer_arbitrary_image_stylization_4ec16d9ab58918bed5e2a300c25dca76_PINTO,1434.743
model_explorer_arbitrary-image-stylization-inceptionv3_fead3bf44d449aa6f36d6d2b49aadeb8_TFHub,625.1457
model_explorer_arcface_mobilefacenet_885ebf841fbfa97fd3ac991212337c2d_Hailo,809.775
model_explorer_arithescientist_aidiagnosis_GitHub,252.591
model_explorer_ARM-software_ML-zoo_GitHub,2412.527
model_explorer_ArmanNavodia_PlantDiseaseDetectionModel_GitHub,390.152353
model_explorer_ArmenHagopian_AI_self-driving-car-simulation_GitHub,2371.011
model_explorer_arthurvalls_plant-sickness-detection_GitHub,2457.958
model_explorer_Ashlo_Covid19-xray-Flask-app_GitHub,91.43566
model_explorer_astrorama_SourceXtractor-litmus_GitHub,226.4466
model_explorer_asus4_tf-lite-unity-sample_GitHub,609.1724
model_explorer_asus4_tf-lite-unity-sample_GitHub_2,1437.465
model_explorer_asus4_tf-lite-unity-sample_GitHub_4,2251.501
model_explorer_asus4_tf-lite-unity-sample_GitHub_5,1433.945
model_explorer_asus4_tf-lite-unity-sample_GitHub_6,442.6251
model_explorer_asus4_tf-lite-unity-sample_GitHub_7,898.8531
model_explorer_asus4_tf-lite-unity-sample_GitHub_8,815.319
model_explorer_asus4_tf-lite-unity-sample_GitHub_9,349.6637
model_explorer_aurelien-m_depth_GitHub,135.4062876
model_explorer_autowarefoundation_modelzoo_GitHub,14.71153
model_explorer_autowarefoundation_modelzoo_GitHub_1,292.5624
model_explorer_avinesh1906_etherBots-ML-API_GitHub,84.74817
model_explorer_axinc-ai_onnx-quantization_GitHub_3,1570.791
model_explorer_axinc-ai_onnx-quantization_GitHub_6,324.5099
model_explorer_Aylin-19-Johns_CIFAR-10_classifier_GitHub,2440.072
model_explorer_Azure-Samples_IoTDemos_GitHub,293.3171
model_explorer_BadagalaAdarsh_ASL_GitHub,932.4608
model_explorer_BadagalaAdarsh_ASL_GitHub_1,1830.989
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_1,434.997
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_11,519.1028
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_13,522.1508
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_5,525.7389
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_7,843.0118
model_explorer_batu_ProjNar_GitHub,2463.811
model_explorer_batu_ProjNar_GitHub_1,2473.392
model_explorer_batu_ProjNar_GitHub_11,2337.871
model_explorer_batu_ProjNar_GitHub_12,2451.029
model_explorer_batu_ProjNar_GitHub_13,2455.512
model_explorer_batu_ProjNar_GitHub_14,2465.657
model_explorer_batu_ProjNar_GitHub_15,2456.251
model_explorer_batu_ProjNar_GitHub_16,2426.156
model_explorer_batu_ProjNar_GitHub_17,2413.03
model_explorer_batu_ProjNar_GitHub_2,2410.811
model_explorer_batu_ProjNar_GitHub_4,2425.819
model_explorer_batu_ProjNar_GitHub_5,2480.331
model_explorer_batu_ProjNar_GitHub_6,2435.414
model_explorer_batu_ProjNar_GitHub_7,2379.388
model_explorer_batu_ProjNar_GitHub_8,2432.42
model_explorer_batu_ProjNar_GitHub_9,2468.257
model_explorer_beltoforion_the-tourist-filter_GitHub,42.77296
model_explorer_bernardesrodrigoc_Ethoflow_GitHub,2264.765
model_explorer_Bhavya2201_Accudiagnosis_GitHub,2346.317
model_explorer_bisenet_local_model,137.8219778
model_explorer_BlazeFace_441468b8afe47ed33b41d17979de449d_PINTO,2176.467
model_explorer_BLRSAI_VEXAI-Sim_GitHub,2447.057
model_explorer_BLRSAI_VEXAI-Sim_GitHub_1,2474.632
model_explorer_BogGyver_openpilot_GitHub,1027.386
model_explorer_broadinstitute_ml4h_GitHub_1,144.6795
model_explorer_broadinstitute_ml4h_GitHub_3,834.8977
model_explorer_calderon0423_Perfectly_Paired_GitHub_1,2380.511
model_explorer_centernet_mobilenetv2_kpts_local_model,263.7837
model_explorer_centernet_mobilenetv2_local_model,343.4804
model_explorer_CenterNet(CTDETwithDLAV0)512x512_4d7de97c51fcdcd5c0b2738bc0e241b1_OpenVINO,-2
model_explorer_centerpose_repvgg_a0_2cb59738f18009921a7931bfc3d3f26d_Hailo,110.0846
model_explorer_chess_alphazero_community_local_model,2565.895
model_explorer_CNelis_myArtApp_GitHub,2354.895
model_explorer_codemaker2015_TensorFlow-Lite-for-Unity-Samples_GitHub_1,2379.887
model_explorer_commaai_openpilot_GitHub_1,2107.93
model_explorer_cropnet_classifier_cassava_disease_V1_7e693311a1ce243b5315a36dc65a460e_TFHub,1526.4
model_explorer_Crystalsound_FRN_GitHub,2429.075443
model_explorer_csTTRX_coulb-arif_GitHub,1850.331
model_explorer_cstub_ml-ids_GitHub,2355.202
model_explorer_cstub_ml-ids_GitHub_1,2376.088
model_explorer_daniel-civitaramirez_CS147-FacialExpressionRecognition_GitHub,510.0328
model_explorer_darrenyao87_tnn-models_GitHub_1,1233.755
model_explorer_dce_local_model,110.9452
model_explorer_deblur_gan_local_model,32.74748217
model_explorer_deep_q_atari_breakout_local_model,2428.398
model_explorer_deeplab_v3_plus_mobilenetv2_local_model,273.9278
model_explorer_DeepSort_a96c756fb0475d2681df6eaede1152f9_PINTO_2,1442.842
model_explorer_dendihandian_forest-fire-estimator_GitHub,2437.588
model_explorer_Dense-Head-Pose-Estimation_da347b73a0c6aac2a6aa3236741597e9_PINTO_5,2367.649
model_explorer_DenseNet121_6e8dbf535919f3665894e1643018fd62_KerasApps,216.8886
model_explorer_devLeffe_toxic-message-compet_GitHub,2410.201
model_explorer_disease-classification_2087a4b67f9d3d4b5efc168d9263eef0_TFHub,901.8558
model_explorer_DivyaArunthathiar_Alzheimer-Detection_GitHub_1,2364.275
model_explorer_DLA34_62a93fa88317c8a6fdbf29796cd60c29_OpenVINO,324.1892
model_explorer_doch2_AE-DNN-model-data_GitHub,2359.872
model_explorer_dong-haha_deeplearning_javaweb_GitHub,1555.199
model_explorer_dong-haha_deeplearning_javaweb_GitHub_1,149.1586
model_explorer_dong-haha_deeplearning_javaweb_GitHub_2,190.6091
model_explorer_driver-action-recognition-adas-0002-encoder_fc316ce76647ed4da2457956cb09b4b1_PINTO_2,1553.612
model_explorer_drminix_facialpointviewer_GitHub,2401.29
model_explorer_DroNet_4c91321c4eb865ee138024b6ac86faa1_PINTO_1,261.1568
model_explorer_Edenzzzz_Edu-x_GitHub_1,2452.305
model_explorer_edgetpu_vision_mobilenet-edgetpu-v2_tiny_6f8c5287d688a357bf94be4ad394ce4f_TFHub,1607.219
model_explorer_edgetpu_vision_mobilenet-edgetpu-v2_xs_7fd60912fbde9b2be04426045773e6a5_TFHub,1519.696
model_explorer_EdgeTPU-DeepLab-slim_6244a7653f1ca8d9e26af59c06e4565c_Coral,326.6054
model_explorer_efficientnet_lite0_classification_d5ba646fbc2619764c0261e69b13a86a_TFHub,1504.723
model_explorer_efficientnet_lite1_classification_aa4301730a28e9fcd33556a0640f4ce1_TFHub,1473.646
model_explorer_efficientnet_lite2_classification_d264cde8b3621c44bd0a23c2f8682479_TFHub,1179.02
model_explorer_efficientnet_lite3_classification_3da0429747656b36cbce6b0ee2f51251_TFHub,855.0542
model_explorer_efficientnet_lite4_classification_5360297cefc31c93e9e7afa490425488_TFHub,267.5043
model_explorer_EfficientNet-EdgeTpu(L)_e9ddde77d8af5568ab029d573b8189a2_Coral,231.2999749
model_explorer_EfficientNet-EdgeTpu(L)*_9a6b2c33330c883950e5ef5afd421566_Coral,231.8683676
model_explorer_EfficientNet-EdgeTpu(M)_4372bddc60264ac65a5723a53c695d8e_Coral,593.1730364
model_explorer_EfficientNet-EdgeTpu(M)*_17ca9e21b8ca571bfec4cb7ea8689297_Coral,470.4046735
model_explorer_EfficientNet-EdgeTpu(S)_b4cd2655bde79755842e717d3a6cad08_Coral,671.7739569
model_explorer_EfficientNet-EdgeTpu(S)*_d16cb6c56695418ad7344e294464862c_Coral,672.1686268
model_explorer_EfficientNetB0_911d0527aad9dd549d917351bbeea0fc_OpenVINO,808.0122
model_explorer_EfficientNetV2B0_a3d46b5b236c07e20763005aed20c700_OpenVINO,1069.079338
model_explorer_EfficientNetV2B0_e61c107c0e66aa1038cc4a78f93f4ba3_KerasApps,750.6071
model_explorer_EfficientNetV2B1_b716bd2ae5d186e73b6e4d75e7abfe37_KerasApps,607.4388
model_explorer_EfficientNetV2B2_edfae983179c823c6355c473a31205d5_KerasApps,1089.857627
model_explorer_eFiniLan_legacypilot_GitHub,44.77289
model_explorer_Emotion_FERPlus_1a14c09c00f0f31d4c82d35e7713daa0_PINTO_8,670.3556
model_explorer_emza-vs_ModelZoo_GitHub,2534.127
model_explorer_emza-vs_ModelZoo_GitHub_1,2614.981
model_explorer_emza-vs_ModelZoo_GitHub_3,1415.184
model_explorer_ersilia-os_eos3ae7_GitHub,2408.714
model_explorer_ersilia-os_image-based-dl_GitHub,45.84642
model_explorer_ersilia-os_image-based-dl_GitHub_1,1371.906
model_explorer_espcn_local_model,119.5912
model_explorer_espcn_x2_57a3f9e845f7f295cab834ea295a5532_Hailo,289.9209
model_explorer_espcn_x3_db0bbbfcb4191e0fd31750e86ffd5c79_Hailo,691.1321
model_explorer_espcn_x4_c92622cdedd9a20119a85a90d9b0984c_Hailo,1150.554
model_explorer_Estacao-pilhas-pi2_battery-analyser_GitHub,1326.929
model_explorer_expression_vgg13_local_model,723.3117
model_explorer_FabianGroeger96_cnn-number-detection_GitHub,2385.448
model_explorer_FabianGroeger96_cnn-number-detection_GitHub_1,2471.259
model_explorer_FabianGroeger96_cnn-number-detection_GitHub_2,2413.163
model_explorer_fabianhasse_openpilot_GitHub,2143.549
model_explorer_face_attr_resnet_v1_18_a3c4d9cfdcd350ef27b5ad17044a97ec_Hailo,580.827
model_explorer_face_landmark_11e7e3fbb51ee269b0caadc0a051b57f_PINTO_1,2372.875
model_explorer_face-detection-0100_18be1390c6f70f90ff9e4bae53f2b72a_PINTO_11,1442.395
model_explorer_face-detection-adas-0001_17ded224973f9cee1702b8fe01a4380c_PINTO_4,374.6161
model_explorer_FaceBoxes_6e1df205b97688e34bef8e2e23544af2_OpenVINO,91.37319
model_explorer_facial_cartoonizer_local_model,82.54924
model_explorer_facial_expression_recognition_mobilefacenet_e12622b988d7e35a68309814a17ef21b_PINTO_4,2454.213
model_explorer_facial_expression_recognition_mobilefacenet_e12622b988d7e35a68309814a17ef21b_PINTO_6,2425.808
model_explorer_fast_depth_7cb9fc9994feba47c2b2b47aacdd73b8_Hailo,470.3089
model_explorer_Fast-SRGAN_3fa02ec11ad9cbb8149b97b4745a868f_PINTO_2,81.43704
model_explorer_Fast-SRGAN_3fa02ec11ad9cbb8149b97b4745a868f_PINTO_22,5.487419
model_explorer_fcn16_resnet_v1_18_9638e9d06af80875b6acf3d514f9a1fa_Hailo,36.16484
model_explorer_fcn8_resnet_v1_18_af05ccf5e55e24919d5e376751a91fca_Hailo,34.89236
model_explorer_fralik_ObjectDetection-MLNet_GitHub,443.3761
model_explorer_FRILL_d830529e1248d3d75f95c02da4cfebf8_PINTO_5,2458.494
model_explorer_georg-jung_FaceAiSharp.Models_GitHub_2,233.9994
model_explorer_gernet_m_local_model,184.5026
model_explorer_gernet_s_local_model,1522.496
model_explorer_GGolfz_Papaya-Backend_GitHub,600.3864
model_explorer_gitguige_openpilot0.8.9_GitHub_1,1017.264
model_explorer_googlenet_local_model,1085.775
model_explorer_gordinmitya_dnn_benchmark_GitHub,1571.574
model_explorer_gordinmitya_dnn_benchmark_GitHub_1,1584.281
model_explorer_gordinmitya_dnn_benchmark_GitHub_3,1565.853
model_explorer_gpunet0_local_model,377.7559
model_explorer_Graft-PSMNet_898d0e12e1def41cd880d4ca8e9f6cc7_PINTO_6,25.80482
model_explorer_greenelab_core-accessory-interactome_GitHub,2464.84
model_explorer_greenelab_generic-expression-patterns_GitHub_1,2435.643
model_explorer_hand_recrop_d0cd901ee9e65a855937a0823a3a68b6_PINTO_6,1428.004
model_explorer_hanyax_simd_gpu_profilling_GitHub,513.8766
model_explorer_har932_Pneumonia-Detection_GitHub,195.0014
model_explorer_hardnet39ds_faff4e149a7586471f3ea8f297fed03f_Hailo,951.3547
model_explorer_Harp0n_DermaApp_GitHub,1513.505
model_explorer_hayden-donnelly_ntg-unity_GitHub_3,99.78391
model_explorer_hayden-donnelly_ntg-unity_GitHub_4,25.19146
model_explorer_hayden-donnelly_ntg-unity_GitHub_5,99.78841
model_explorer_hayden-donnelly_ntg-unity_GitHub_6,25.19169
model_explorer_hayden-donnelly_ntg-unity_GitHub_8,25.19127
model_explorer_HBONet0.25_7117475a66cad230a8fb88792121e0d1_OpenVINO,1553.962
model_explorer_HBONet1.0_66b1ecc71c056996ce9c0a8470aedc86_OpenVINO,1426.462
model_explorer_hbuenostaubi_crimeapp_GitHub,2337.397
model_explorer_hf-internal-testing_tiny-random-resnet_1c891d4e83bfef5f823672e05e771592_HuggingFace,1500.467
model_explorer_HHP-Net_821b130f29bfe641c1f1d4434a3674b4_PINTO,2753.075
model_explorer_HHP-Net_821b130f29bfe641c1f1d4434a3674b4_PINTO_28,2727.396
model_explorer_hotg-ai_rune_GitHub_2,2434.8
model_explorer_hotg-ai_rune_GitHub_3,2466.15
model_explorer_hotg-ai_rune_GitHub_4,2475.401
model_explorer_human-pose-estimation-3d-0001_f493762d4a7455b8364d2c381399f3f8_OpenVINO,245.4114
model_explorer_hwajlee_TIL_GitHub,2461.934
model_explorer_hwajlee_TIL_GitHub_1,2310.865
model_explorer_hwajlee_TIL_GitHub_2,2418.849
model_explorer_hwajlee_TIL_GitHub_3,2356.944
model_explorer_hwajlee_TIL_GitHub_4,2410.932
model_explorer_hwajlee_TIL_GitHub_5,2400.38
model_explorer_hwajlee_TIL_GitHub_6,2355.689
model_explorer_IBM_mini-era_GitHub,2389.016
model_explorer_IINemo_isanlp_srl_framebank_GitHub,2414.466
model_explorer_imagenet_mobilenet_v1_025_128_classification_7c40dc544afd13a4a4b6d9cc65c5129c_TFHub,2404.257
model_explorer_imagenet_mobilenet_v1_025_192_classification_b8e402df2a973fbe9dd23cf71a42756e_TFHub,2322.867
model_explorer_imagenet_mobilenet_v1_025_224_classification_fd665875f3ab208a0ca57cc14fbedab8_TFHub,1523.585
model_explorer_imagenet_mobilenet_v1_050_128_classification_252bdd56250c14a22da8f07d43196836_TFHub,2462.114
model_explorer_imagenet_mobilenet_v1_050_224_classification_003f32bbe2c68e075c0157b396be993d_TFHub,1606.619
model_explorer_imagenet_mobilenet_v2_035_96_classification_609b09cce2876554dad240ce7b28cef1_TFHub,2434.238
model_explorer_imagenet_mobilenet_v3_large_075_224_classification_2c0eba0feb6aaec029195a28ed4d8f50_TFHub,545.4012
model_explorer_imagenet_mobilenet_v3_large_075_224_classification_d2482d40e214f2b9cc1a6d3118e1c7d6_TFHub,1552.752
model_explorer_imagenet_mobilenet_v3_large_075_224_feature_vector_19188b8fc6bfbf1475a81462672bdbeb_TFHub,554.2912
model_explorer_imagenet_mobilenet_v3_large_100_224_classification_31c913c9c7e4305a1ae71b220741a1ab_TFHub,554.3648
model_explorer_imagenet_mobilenet_v3_large_100_224_classification_d25888f018f2ec62d432d6eb60984f0d_TFHub,1624.364
model_explorer_imagenet_mobilenet_v3_large_100_224_feature_vector_53a3a715a5aa23e489fc4b242ba873b9_TFHub,554.3604
model_explorer_imagenet_mobilenet_v3_small_075_224_classification_ba1a0bff8e0c1fc1716e3922affd6983_TFHub,1558.813
model_explorer_imagenet_mobilenet_v3_small_075_224_feature_vector_87fd5db86edd3e410b475581fe33c557_TFHub,554.191
model_explorer_imagenet_mobilenet_v3_small_100_224_classification_962b115180de6f0edbd74871053f89f5_TFHub,553.8148
model_explorer_imagenet_mobilenet_v3_small_100_224_feature_vector_6dd0531639674eb62e502bdadc46e834_TFHub,554.0306
model_explorer_InceptionV1_8a9bab243e0778a9c24944003dcdcbed_Coral,1048.915
model_explorer_InceptionV3_0168ae4c9dddd3c9473d4c5a93d1a070_Coral,769.4271
